P,I,G,S,L,C,P_label,I_label,G_label,S_label,L_label,C_label,group_id,policy_id,group_label,policy_label,n_obs,is_observed
2,2,1,1,2,2,二胎/已有1孩,中高收入,无祖辈照护,低补贴,中假期,增强托育,2-2-1,1-2-2,二胎/已有1孩|中高收入|无祖辈照护,低补贴-中假期-增强托育,9,1
2,2,1,1,3,1,二胎/已有1孩,中高收入,无祖辈照护,低补贴,长假期,基础托育,2-2-1,1-3-1,二胎/已有1孩|中高收入|无祖辈照护,低补贴-长假期-基础托育,0,0
2,2,1,1,3,2,二胎/已有1孩,中高收入,无祖辈照护,低补贴,长假期,增强托育,2-2-1,1-3-2,二胎/已有1孩|中高收入|无祖辈照护,低补贴-长假期-增强托育,0,0
2,2,1,2,1,1,二胎/已有1孩,中高收入,无祖辈照护,中补贴,短假期,基础托育,2-2-1,2-1-1,二胎/已有1孩|中高收入|无祖辈照护,中补贴-短假期-基础托育,34,1
2,2,1,2,1,2,二胎/已有1孩,中高收入,无祖辈照护,中补贴,短假期,增强托育,2-2-1,2-1-2,二胎/已有1孩|中高收入|无祖辈照护,中补贴-短假期-增强托育,13,1
2,2,1,2,2,1,二胎/已有1孩,中高收入,无祖辈照护,中补贴,中假期,基础托育,2-2-1,2-2-1,二胎/已有1孩|中高收入|无祖辈照护,中补贴-中假期-基础托育,37,1
2,2,1,2,2,2,二胎/已有1孩,中高收入,无祖辈照护,中补贴,中假期,增强托育,2-2-1,2-2-2,二胎/已有1孩|中高收入|无祖辈照护,中补贴-中假期-增强托育,41,1
2,2,1,2,3,1,二胎/已有1孩,中高收入,无祖辈照护,中补贴,长假期,基础托育,2-2-1,2-3-1,二胎/已有1孩|中高收入|无祖辈照护,中补贴-长假期-基础托育,37,1
2,2,1,2,3,2,二胎/已有1孩,中高收入,无祖辈照护,中补贴,长假期,增强托育,2-2-1,2-3-2,二胎/已有1孩|中高收入|无祖辈照护,中补贴-长假期-增强托育,11,1
2,2,1,3,1,1,二胎/已有1孩,中高收入,无祖辈照护,高补贴,短假期,基础托育,2-2-1,3-1-1,二胎/已有1孩|中高收入|无祖辈照护,高补贴-短假期-基础托育,0,0
2,2,1,3,1,2,二胎/已有1孩,中高收入,无祖辈照护,高补贴,短假期,增强托育,2-2-1,3-1-2,二胎/已有1孩|中高收入|无祖辈照护,高补贴-短假期-增强托育,0,0
2,2,1,3,2,1,二胎/已有1孩,中高收入,无祖辈照护,高补贴,中假期,基础托育,2-2-1,3-2-1,二胎/已有1孩|中高收入|无祖辈照护,高补贴-中假期-基础托育,36,1
2,2,1,3,2,2,二胎/已有1孩,中高收入,无祖辈照护,高补贴,中假期,增强托育,2-2-1,3-2-2,二胎/已有1孩|中高收入|无祖辈照护,高补贴-中假期-增强托育,11,1
2,2,1,3,3,1,二胎/已有1孩,中高收入,无祖辈照护,高补贴,长假期,基础托育,2-2-1,3-3-1,二胎/已有1孩|中高收入|无祖辈照护,高补贴-长假期-基础托育,35,1
2,2,1,3,3,2,二胎/已有1孩,中高收入,无祖辈照护,高补贴,长假期,增强托育,2-2-1,3-3-2,二胎/已有1孩|中高收入|无祖辈照护,高补贴-长假期-增强托育,4,1
2,2,2,1,1,1,二胎/已有1孩,中高收入,有祖辈照护,低补贴,短假期,基础托育,2-2-2,1-1-1,二胎/已有1孩|中高收入|有祖辈照护,低补贴-短假期-基础托育,45,1
2,2,2,1,1,2,二胎/已有1孩,中高收入,有祖辈照护,低补贴,短假期,增强托育,2-2-2,1-1-2,二胎/已有1孩|中高收入|有祖辈照护,低补贴-短假期-增强托育,43,1
2,2,2,1,2,1,二胎/已有1孩,中高收入,有祖辈照护,低补贴,中假期,基础托育,2-2-2,1-2-1,二胎/已有1孩|中高收入|有祖辈照护,低补贴-中假期-基础托育,43,1
2,2,2,1,2,2,二胎/已有1孩,中高收入,有祖辈照护,低补贴,中假期,增强托育,2-2-2,1-2-2,二胎/已有1孩|中高收入|有祖辈照护,低补贴-中假期-增强托育,54,1
2,2,2,1,3,1,二胎/已有1孩,中高收入,有祖辈照护,低补贴,长假期,基础托育,2-2-2,1-3-1,二胎/已有1孩|中高收入|有祖辈照护,低补贴-长假期-基础托育,11,1
2,2,2,1,3,2,二胎/已有1孩,中高收入,有祖辈照护,低补贴,长假期,增强托育,2-2-2,1-3-2,二胎/已有1孩|中高收入|有祖辈照护,低补贴-长假期-增强托育,36,1
2,2,2,2,1,1,二胎/已有1孩,中高收入,有祖辈照护,中补贴,短假期,基础托育,2-2-2,2-1-1,二胎/已有1孩|中高收入|有祖辈照护,中补贴-短假期-基础托育,43,1
2,2,2,2,1,2,二胎/已有1孩,中高收入,有祖辈照护,中补贴,短假期,增强托育,2-2-2,2-1-2,二胎/已有1孩|中高收入|有祖辈照护,中补贴-短假期-增强托育,55,1
2,2,2,2,2,1,二胎/已有1孩,中高收入,有祖辈照护,中补贴,中假期,基础托育,2-2-2,2-2-1,二胎/已有1孩|中高收入|有祖辈照护,中补贴-中假期-基础托育,0,0
2,2,2,2,2,2,二胎/已有1孩,中高收入,有祖辈照护,中补贴,中假期,增强托育,2-2-2,2-2-2,二胎/已有1孩|中高收入|有祖辈照护,中补贴-中假期-增强托育,0,0
2,2,2,2,3,1,二胎/已有1孩,中高收入,有祖辈照护,中补贴,长假期,基础托育,2-2-2,2-3-1,二胎/已有1孩|中高收入|有祖辈照护,中补贴-长假期-基础托育,10,1
