P,I,G,S,L,C,mu_hat_zj,mu_hat_base_zj,delta_hat_zj,group_id,policy_id,n_obs_cell,group_label,pi_zj,ug,ug_shrunk,wage_anchor_monthly,income_anchor,q_g,r_g,tau_si,w_g,m_L,k_L,C_cash_zj,A_C,u_g_used,C_childcare_zj,SC_g,C_leave_birth_allowance,C_leave_socsub,C_leave_zj,C_total_zj,scenario,scenario_note
1,1,1,2,3,2,7.546890252428663,6.947267590384765,0.599622662043898,1-1-1,2-3-2,0,首胎/无子女|中低收入|无祖辈照护,0.0078125,0.0,0.5629006410256411,6435.833333333333,中低收入→私营单位平均工资,0.8,1.0,0.26,6435.833333333333,2.0,6,10800.0,8400.0,0.0,0.0,1673.3166666666666,10297.333333333334,4015.96,14313.293333333335,25113.293333333335,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,1,1,3,1,1,7.344934013525073,6.947267590384765,0.3976664231403077,1-1-1,3-1-1,48,首胎/无子女|中低收入|无祖辈照护,0.0078125,0.0,0.5629006410256411,6435.833333333333,中低收入→私营单位平均工资,0.8,1.0,0.26,6435.833333333333,0.0,0,21600.0,0.0,0.0,0.0,1673.3166666666666,0.0,0.0,0.0,21600.0,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,1,1,3,1,2,7.6605910318201405,6.947267590384765,0.7133234414353753,1-1-1,3-1-2,48,首胎/无子女|中低收入|无祖辈照护,0.0078125,0.0,0.5629006410256411,6435.833333333333,中低收入→私营单位平均工资,0.8,1.0,0.26,6435.833333333333,0.0,0,21600.0,8400.0,0.0,0.0,1673.3166666666666,0.0,0.0,0.0,21600.0,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,1,1,3,2,1,7.622420171352938,6.947267590384765,0.6751525809681729,1-1-1,3-2-1,36,首胎/无子女|中低收入|无祖辈照护,0.0078125,0.0,0.5629006410256411,6435.833333333333,中低收入→私营单位平均工资,0.8,1.0,0.26,6435.833333333333,1.0,6,21600.0,0.0,0.0,0.0,1673.3166666666666,5148.666666666667,4015.96,9164.626666666667,30764.626666666667,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,1,1,3,2,2,7.550968710419317,6.947267590384765,0.6037011200345521,1-1-1,3-2-2,10,首胎/无子女|中低收入|无祖辈照护,0.0078125,0.0,0.5629006410256411,6435.833333333333,中低收入→私营单位平均工资,0.8,1.0,0.26,6435.833333333333,1.0,6,21600.0,8400.0,0.0,0.0,1673.3166666666666,5148.666666666667,4015.96,9164.626666666667,30764.626666666667,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,1,1,3,3,1,7.764127285713677,6.947267590384765,0.8168596953289118,1-1-1,3-3-1,38,首胎/无子女|中低收入|无祖辈照护,0.0078125,0.0,0.5629006410256411,6435.833333333333,中低收入→私营单位平均工资,0.8,1.0,0.26,6435.833333333333,2.0,6,21600.0,0.0,0.0,0.0,1673.3166666666666,10297.333333333334,4015.96,14313.293333333335,35913.293333333335,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,1,1,3,3,2,7.914138235386246,6.947267590384765,0.9668706450014808,1-1-1,3-3-2,6,首胎/无子女|中低收入|无祖辈照护,0.0078125,0.0,0.5629006410256411,6435.833333333333,中低收入→私营单位平均工资,0.8,1.0,0.26,6435.833333333333,2.0,6,21600.0,8400.0,0.0,0.0,1673.3166666666666,10297.333333333334,4015.96,14313.293333333335,35913.293333333335,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,1,2,1,1,1,7.655822934459119,7.655822934459119,0.0,1-1-2,1-1-1,0,首胎/无子女|中低收入|有祖辈照护,0.0390625,0.7333333333333333,0.7327083333333334,6435.833333333333,中低收入→私营单位平均工资,0.8,1.0,0.26,6435.833333333333,0.0,0,0.0,0.0,0.7333333333333333,0.0,1673.3166666666666,0.0,0.0,0.0,0.0,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,1,2,1,1,2,7.561830565480265,7.655822934459119,-0.0939923689788537,1-1-2,1-1-2,0,首胎/无子女|中低收入|有祖辈照护,0.0390625,0.7333333333333333,0.7327083333333334,6435.833333333333,中低收入→私营单位平均工资,0.8,1.0,0.26,6435.833333333333,0.0,0,0.0,8400.0,0.7333333333333333,6160.0,1673.3166666666666,0.0,0.0,0.0,6160.0,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,1,2,1,2,1,7.826760728995396,7.655822934459119,0.1709377945362771,1-1-2,1-2-1,0,首胎/无子女|中低收入|有祖辈照护,0.0390625,0.7333333333333333,0.7327083333333334,6435.833333333333,中低收入→私营单位平均工资,0.8,1.0,0.26,6435.833333333333,1.0,6,0.0,0.0,0.7333333333333333,0.0,1673.3166666666666,5148.666666666667,4015.96,9164.626666666667,9164.626666666667,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,1,2,1,2,2,7.345659880787855,7.655822934459119,-0.3101630536712632,1-1-2,1-2-2,0,首胎/无子女|中低收入|有祖辈照护,0.0390625,0.7333333333333333,0.7327083333333334,6435.833333333333,中低收入→私营单位平均工资,0.8,1.0,0.26,6435.833333333333,1.0,6,0.0,8400.0,0.7333333333333333,6160.0,1673.3166666666666,5148.666666666667,4015.96,9164.626666666667,15324.626666666667,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,1,2,1,3,1,7.766774218590118,7.655822934459119,0.1109512841309996,1-1-2,1-3-1,35,首胎/无子女|中低收入|有祖辈照护,0.0390625,0.7333333333333333,0.7327083333333334,6435.833333333333,中低收入→私营单位平均工资,0.8,1.0,0.26,6435.833333333333,2.0,6,0.0,0.0,0.7333333333333333,0.0,1673.3166666666666,10297.333333333334,4015.96,14313.293333333335,14313.293333333335,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,1,2,1,3,2,7.507135780988766,7.655822934459119,-0.1486871534703526,1-1-2,1-3-2,10,首胎/无子女|中低收入|有祖辈照护,0.0390625,0.7333333333333333,0.7327083333333334,6435.833333333333,中低收入→私营单位平均工资,0.8,1.0,0.26,6435.833333333333,2.0,6,0.0,8400.0,0.7333333333333333,6160.0,1673.3166666666666,10297.333333333334,4015.96,14313.293333333335,20473.293333333335,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,1,2,2,1,1,7.657693959874553,7.655822934459119,0.0018710254154346,1-1-2,2-1-1,39,首胎/无子女|中低收入|有祖辈照护,0.0390625,0.7333333333333333,0.7327083333333334,6435.833333333333,中低收入→私营单位平均工资,0.8,1.0,0.26,6435.833333333333,0.0,0,10800.0,0.0,0.7333333333333333,0.0,1673.3166666666666,0.0,0.0,0.0,10800.0,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,1,2,2,1,2,7.747070001886241,7.655822934459119,0.0912470674271226,1-1-2,2-1-2,13,首胎/无子女|中低收入|有祖辈照护,0.0390625,0.7333333333333333,0.7327083333333334,6435.833333333333,中低收入→私营单位平均工资,0.8,1.0,0.26,6435.833333333333,0.0,0,10800.0,8400.0,0.7333333333333333,6160.0,1673.3166666666666,0.0,0.0,0.0,16960.0,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
