criterion,policy_id,policy_label,Cbar_zj,Ebar_zj,total_cost_yuan,total_cost_yi_yuan
最低成本前沿点,1-1-2,低补贴–短假期–增强托育,6146.874999999998,0.10190502915236678,2520218749.9999995,25.202187499999994
35%分位附近前沿点,1-3-1,低补贴–长假期–基础托育,22046.32811458333,0.4200796152325476,9038994526.979164,90.38994526979164
72%分位附近前沿点,3-2-1,高补贴–中假期–基础托育,35715.99426041666,0.6390977962862652,14643557646.770828,146.43557646770827
最高效果前沿点,3-3-2,高补贴–长假期–增强托育,49793.20311458332,0.8620911046116242,20415213276.979156,204.15213276979156
