lambda_fair,budget_name,budget_yuan,budget_yi_yuan,mode,selected_policy_id,selected_policy_label,total_cost_yuan,total_cost_yi_yuan,total_effect_units,weighted_utility,vulnerable_effect_units,vulnerable_budget_yuan,vulnerable_budget_yi_yuan,n_unique_policies,frontier_states,gain_vs_uniform_effect_units,gain_vs_uniform_effect_pct,gain_vs_uniform_utility,gain_vs_uniform_utility_pct,vulnerable_budget_share,vulnerable_effect_share
0.0,tight,1100000000.0,11.0,uniform,1-1-1,低补贴–短假期–基础托育,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,,,
0.0,tight,1100000000.0,11.0,stratified,MULTI,多政策分层组合,1099995335.069444,10.99995335069444,45680.37649932927,45680.37649932927,4960.000715100414,106820232.63888843,1.0682023263888842,3,196.0,45680.37649932927,,45680.37649932927,,0.09710971422632875,0.10858055679933465
0.0,moderate,2200000000.0,22.0,uniform,1-1-1,低补贴–短假期–基础托育,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,,,
0.0,moderate,2200000000.0,22.0,stratified,MULTI,多政策分层组合,2197905578.1249986,21.979055781249986,74969.24768735387,74969.24768735387,15192.44142118916,473136725.694443,4.73136725694443,6,398.0,74969.24768735387,,74969.24768735387,,0.2152670844477628,0.20264897794555148
0.0,ample,4400000000.0,44.0,uniform,1-1-2,低补贴–短假期–增强托育,2520218749.9999995,25.202187499999994,41781.06195247037,41781.06195247037,3950.131277465483,89687499.99999957,0.8968749999999956,1,,,,,,0.03558718861209948,0.09454358249579928
0.0,ample,4400000000.0,44.0,stratified,MULTI,多政策分层组合,4399986394.097219,43.9998639409722,137582.17646934764,137582.17646934764,12739.293424482375,403949225.6944429,4.039492256944429,4,780.0,95801.11451687728,229.2931535006445,95801.11451687728,229.2931535006445,0.0918069260933077,0.09259406815184816
0.0,max,8900000000.0,89.0,uniform,1-2-1,低补贴–中假期–基础托育,5787557646.770831,57.87557646770831,146611.5334428127,146611.5334428127,4706.094413997871,107636630.9027773,1.076366309027773,1,,,,,,0.018597936724281817,0.03209907367781219
0.0,max,8900000000.0,89.0,stratified,MULTI,多政策分层组合,8897130214.861107,88.97130214861107,249971.56358047144,249971.56358047144,15684.5363445445,496199225.6944424,4.9619922569444235,8,1539.0,103360.03013765873,70.49924907713712,103360.03013765873,70.49924907713712,0.055770705127550904,0.06274528238287111
