term,coef
Intercept,8.340718491251634
P[2],-0.020301895722129003
P[3],-0.27590158047939617
I[2],0.07876792258935161
G[2],0.24511059059319998
S[2],0.02777512329803742
S[3],0.10238409977682013
L[2],0.03923060374481826
L[3],0.11034717400647504
C[2],0.06585674837654261
SL[1:2],0.011988905362727788
SL[1:3],-0.022663873522235777
SL[2:1],-0.033566959526458405
SL[2:2],0.028455912443048233
SL[2:3],0.03288616987247007
SL[3:1],0.003473436671461578
SL[3:2],-0.0012142144632502649
SL[3:3],0.10012487710015364
SC[1:2],-0.06751652677782673
SC[2:1],-0.0440383806343212
SC[2:2],0.07181350357839643
SC[3:1],0.040824329215544054
SC[3:2],0.06155977051037452
LC[1:2],0.13372256627013987
LC[2:1],0.14630825828715902
LC[2:2],-0.10707765467138819
LC[3:1],0.07113533815402023
LC[3:2],0.0392118358016633
PS[1:2],0.0850919640721053
PS[1:3],0.10524424388085374
PS[2:1],-0.06317197028698139
PS[2:2],-0.04690954621807854
PS[2:3],0.08977962014175456
PS[3:1],-0.1728545211923272
PS[3:2],-0.010407295121855726
PS[3:3],-0.0926397646989391
PL[1:2],0.1096117618984188
PL[1:3],0.04644987370307385
PL[2:1],-0.19077461196847495
PL[2:2],0.049032079352888974
PL[2:3],0.12144063630762342
PL[3:1],-0.09894500647990377
PL[3:2],-0.11941323791319743
PL[3:3],-0.057543336485974525
PC[1:2],0.03776616880764584
PC[2:1],-0.0802188823758403
PC[2:2],0.059916986286469326
PC[3:1],-0.2440751730928558
PC[3:2],-0.031826407603348074
IS[1:2],-0.03963428156713411
IS[1:3],0.1789058028392154
IS[2:1],0.08788022082037258
IS[2:2],0.0674094046294754
IS[2:3],-0.07652170313314084
IL[1:2],-0.012605202201104643
IL[1:3],0.02657189637804034
IL[2:1],-0.05684316088199778
IL[2:2],0.0518358057044672
IL[2:3],0.08377527739477901
IC[1:2],-0.011757348028226568
IC[2:1],0.0011538267979031539
IC[2:2],0.07761409583341161
GS[1:2],-0.03012715734762649
GS[1:3],-0.03316548924358849
GS[2:1],0.051658720453327894
GS[2:2],0.05790228022653414
GS[2:3],0.13554958889306737
GL[1:2],-0.0003716127667148309
GL[1:3],0.06803754951830164
GL[2:1],0.16319874894743547
GL[2:2],0.039602216391693985
GL[2:3],0.0423096243590606
GC[1:2],0.06933344157413175
GC[2:1],0.24858728408038927
GC[2:2],-0.003476693546743151
