P,I,G,S,L,C,mu_hat_zj,mu_hat_base_zj,delta_hat_zj,group_id,policy_id,n_obs_cell
1,2,1,3,3,1,7.645824910145313,7.058226399710394,0.5875985104349191,1-2-1,3-3-1,9
1,2,1,3,3,2,7.884053476881616,7.058226399710394,0.8258270771712217,1-2-1,3-3-2,34
1,2,2,1,1,1,7.766781743784748,7.766781743784748,0.0,1-2-2,1-1-1,13
1,2,2,1,1,2,7.761006991869627,7.766781743784748,-0.005774751915121001,1-2-2,1-1-2,37
1,2,2,1,2,1,8.059003707108594,7.766781743784748,0.2922219633238461,1-2-2,1-2-1,0
1,2,2,1,2,2,7.666120475964787,7.766781743784748,-0.10066126781996143,1-2-2,1-2-2,0
1,2,2,1,3,1,7.991779569814484,7.766781743784748,0.2249978260297354,1-2-2,1-3-1,0
1,2,2,1,3,2,7.820358749276864,7.766781743784748,0.05357700549211586,1-2-2,1-3-2,0
1,2,2,2,1,1,7.787816234576421,7.766781743784748,0.02103449079167241,1-2-2,2-1-1,10
1,2,2,2,1,2,7.965409893651842,7.766781743784748,0.1986281498670932,1-2-2,2-1-2,35
1,2,2,2,2,1,8.130072164507046,7.766781743784748,0.363290420722298,1-2-2,2-2-1,8
1,2,2,2,2,2,7.920557344353782,7.766781743784748,0.15377560056903317,1-2-2,2-2-2,34
1,2,2,2,3,1,8.101931063527319,7.766781743784748,0.33514931974257056,1-2-2,2-3-1,12
1,2,2,2,3,2,8.113878653980242,7.766781743784748,0.3470969101954937,1-2-2,2-3-2,33
1,2,2,3,1,1,7.938196797815653,7.766781743784748,0.17141505403090473,1-2-2,3-1-1,13
1,2,2,3,1,2,8.020674013973188,7.766781743784748,0.2538922701884401,1-2-2,3-1-2,37
1,2,2,3,2,1,8.213742204642061,7.766781743784748,0.446960460857313,1-2-2,3-2-1,9
1,2,2,3,2,2,7.90911094157091,7.766781743784748,0.14232919778616182,1-2-2,3-2-2,36
1,2,2,3,3,1,8.282509937796316,7.766781743784748,0.5157281940115679,1-2-2,3-3-1,0
1,2,2,3,3,2,8.199341085331353,7.766781743784748,0.4325593415466047,1-2-2,3-3-2,0
2,1,1,1,1,1,6.592800230031338,6.592800230031338,0.0,2-1-1,1-1-1,11
2,1,1,1,1,2,6.922574980108412,6.592800230031338,0.3297747500770738,2-1-1,1-1-2,34
2,1,1,1,2,1,7.0171578737795866,6.592800230031338,0.42435764374824814,2-1-1,1-2-1,0
2,1,1,1,2,2,6.959824144627973,6.592800230031338,0.3670239145966345,2-1-1,1-2-2,0
2,1,1,1,3,1,7.15844356284204,6.592800230031338,0.5656433328107013,2-1-1,1-3-1,0
2,1,1,1,3,2,7.322572244296615,6.592800230031338,0.7297720142652766,2-1-1,1-3-2,0
2,1,1,2,1,1,6.489470998322738,6.592800230031338,-0.10332923170860031,2-1-1,2-1-1,13
2,1,1,2,1,2,7.002614159390355,6.592800230031338,0.40981392935901617,2-1-1,2-1-2,37
2,1,1,2,2,1,6.963862608677767,6.592800230031338,0.3710623786464282,2-1-1,2-2-1,11
2,1,1,2,2,2,7.089897290516696,6.592800230031338,0.4970970604853573,2-1-1,2-2-2,0
2,1,1,2,3,1,7.144231334054605,6.592800230031338,0.5514311040232664,2-1-1,2-3-1,8
2,1,1,2,3,2,7.491728426499721,6.592800230031338,0.8989281964683826,2-1-1,2-3-2,34
2,1,1,3,1,1,7.03817399971953,6.592800230031338,0.4453737696881914,2-1-1,3-1-1,10
2,1,1,3,1,2,7.456200717869259,6.592800230031338,0.8634004878379207,2-1-1,3-1-2,39
2,1,1,3,2,1,7.445855086970338,6.592800230031338,0.853054856939,2-1-1,3-2-1,9
2,1,1,3,2,2,7.476773325891381,6.592800230031338,0.8839730958600427,2-1-1,3-2-2,34
2,1,1,3,3,1,7.723132646481158,6.592800230031338,1.1303324164498196,2-1-1,3-3-1,0
2,1,1,3,3,2,7.975513296008389,6.592800230031338,1.3827130659770503,2-1-1,3-3-2,0
2,1,2,1,1,1,7.301355574105692,7.301355574105692,0.0,2-1-2,1-1-1,47
2,1,2,1,1,2,7.309732904981501,7.301355574105692,0.00837733087580883,2-1-2,1-1-2,48
2,1,2,1,2,1,7.602488298064915,7.301355574105692,0.3011327239592232,2-1-2,1-2-1,38
2,1,2,1,2,2,7.2237571497120365,7.301355574105692,-0.07759842439365539,2-1-2,1-2-2,12
2,1,2,1,3,1,7.6780722328097175,7.301355574105692,0.3767166587040256,2-1-2,1-3-1,46
2,1,2,1,3,2,7.520803495063026,7.301355574105692,0.21944792095733412,2-1-2,1-3-2,47
2,1,2,2,1,1,7.234397059517924,7.301355574105692,-0.06695851458776758,2-1-2,2-1-1,0
2,1,2,2,1,2,7.426142801384275,7.301355574105692,0.12478722727858305,2-1-2,2-1-2,0
2,1,2,2,2,1,7.585563750083926,7.301355574105692,0.2842081759782342,2-1-2,2-2-1,35
2,1,2,2,2,2,7.39020101272159,7.301355574105692,0.08884543861589833,2-1-2,2-2-2,11
2,1,2,2,3,1,7.700230721143114,7.301355574105692,0.39887514703742166,2-1-2,2-3-1,44
2,1,2,2,3,2,7.726330394386965,7.301355574105692,0.42497482028127287,2-1-2,2-3-2,51
2,1,2,3,1,1,7.863785701477209,7.301355574105692,0.5624301273715169,2-1-2,3-1-1,10
2,1,2,3,1,2,7.960415000425673,7.301355574105692,0.6590594263199812,2-1-2,3-1-2,34
2,1,2,3,2,1,8.148241868938992,7.301355574105692,0.8468862948333005,2-1-2,3-2-1,49
2,1,2,3,2,2,7.85776268865877,7.301355574105692,0.5564071145530782,2-1-2,3-2-2,50
2,1,2,3,3,1,8.359817674132161,7.301355574105692,1.0584621000264693,2-1-2,3-3-1,11
2,1,2,3,3,2,8.290800904458127,7.301355574105692,0.9894453303524351,2-1-2,3-3-2,34
2,2,1,1,1,1,6.703759039356967,6.703759039356967,0.0,2-2-1,1-1-1,0
2,2,1,1,1,2,7.121751406497774,6.703759039356967,0.41799236714080656,2-2-1,1-1-2,0
2,2,1,1,2,1,7.249400851892785,6.703759039356967,0.545641812535818,2-2-1,1-2-1,37
2,2,1,1,2,2,7.280284739804905,6.703759039356967,0.576525700447938,2-2-1,1-2-2,9
2,2,1,1,3,1,7.383448914066404,6.703759039356967,0.6796898747094371,2-2-1,1-3-1,0
2,2,1,1,3,2,7.635795212584712,6.703759039356967,0.9320361732277451,2-2-1,1-3-2,0
2,2,1,2,1,1,6.619593273024606,6.703759039356967,-0.08416576633236161,2-2-1,2-1-1,34
2,2,1,2,1,2,7.220954051155956,6.703759039356967,0.5171950117989885,2-2-1,2-1-2,13
2,2,1,2,2,1,7.215269052167204,6.703759039356967,0.5115100128102368,2-2-1,2-2-1,37
2,2,1,2,2,2,7.429521351069866,6.703759039356967,0.7257623117128986,2-2-1,2-2-2,41
2,2,1,2,3,1,7.388400150655206,6.703759039356967,0.6846411112982391,2-2-1,2-3-1,37
2,2,1,2,3,2,7.824114860164057,6.703759039356967,1.1203558208070898,2-2-1,2-3-2,11
2,2,1,3,1,1,6.805825082252429,6.703759039356967,0.10206604289546206,2-2-1,3-1-1,0
2,2,1,3,1,2,7.312069417465892,6.703759039356967,0.608310378108925,2-2-1,3-1-2,0
2,2,1,3,2,1,7.3347903382908095,6.703759039356967,0.6310312989338422,2-2-1,3-2-1,36
2,2,1,3,2,2,7.453926194275585,6.703759039356967,0.7501671549186177,2-2-1,3-2-2,11
2,2,1,3,3,1,7.604830270912794,6.703759039356967,0.9010712315558269,2-2-1,3-3-1,35
2,2,1,3,3,2,7.9454285375037585,6.703759039356967,1.2416694981467913,2-2-1,3-3-2,4
2,2,2,1,1,1,7.412314383431322,7.412314383431322,0.0,2-2-2,1-1-1,45
2,2,2,1,1,2,7.508909331370862,7.412314383431322,0.09659494793954071,2-2-2,1-1-2,43
2,2,2,1,2,1,7.834731276178113,7.412314383431322,0.4224168927467913,2-2-2,1-2-1,43
2,2,2,1,2,2,7.544217744888968,7.412314383431322,0.13190336145764636,2-2-2,1-2-2,54
2,2,2,1,3,1,7.903077584034081,7.412314383431322,0.4907632006027596,2-2-2,1-3-1,11
2,2,2,1,3,2,7.834026463351124,7.412314383431322,0.42171207991980264,2-2-2,1-3-2,36
2,2,2,2,1,1,7.364519334219792,7.412314383431322,-0.04779504921152977,2-2-2,2-1-1,43
2,2,2,2,1,2,7.644482693149875,7.412314383431322,0.23216830971855362,2-2-2,2-1-2,55
2,2,2,2,2,1,7.8369701935733636,7.412314383431322,0.4246558101420419,2-2-2,2-2-1,0
2,2,2,2,2,2,7.72982507327476,7.412314383431322,0.3175106898434388,2-2-2,2-2-2,0
2,2,2,2,3,1,7.944399537743715,7.412314383431322,0.5320851543123934,2-2-2,2-3-1,10
2,2,2,2,3,2,8.0587168280513,7.412314383431322,0.6464024446199792,2-2-2,2-3-2,34
2,2,2,3,1,1,7.631436784010109,7.412314383431322,0.2191224005787875,2-2-2,3-1-1,36
2,2,2,3,1,2,7.816283700022308,7.412314383431322,0.40396931659098634,2-2-2,3-1-2,10
2,2,2,3,2,1,8.037177120259463,7.412314383431322,0.624862736828141,2-2-2,3-2-1,40
2,2,2,3,2,2,7.834915557042975,7.412314383431322,0.4226011736116533,2-2-2,3-2-2,13
2,2,2,3,3,1,8.241515298563797,7.412314383431322,0.8292009151324757,2-2-2,3-3-1,47
2,2,2,3,3,2,8.260716145953497,7.412314383431322,0.8484017625221751,2-2-2,3-3-2,46
3,1,1,1,1,1,6.155491309140284,6.155491309140284,0.0,3-1-1,1-1-1,37
3,1,1,1,1,2,6.557378956044554,6.155491309140284,0.40188764690427004,3-1-1,1-1-2,10
3,1,1,1,2,1,6.319574030133873,6.155491309140284,0.16408272099358978,3-1-1,1-2-1,73
3,1,1,1,2,2,6.334353197809457,6.155491309140284,0.1788618886691733,3-1-1,1-2-2,22
3,1,1,1,3,1,6.450321063668814,6.155491309140284,0.29482975452853033,3-1-1,1-3-1,38
3,1,1,1,3,2,6.686562641950588,6.155491309140284,0.5310713328103045,3-1-1,1-3-2,15
